strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YMR300C::chr13_5	58	44	732	400	146	65
YMR301C::chr13_5	0	3	0	8	0	1
YMR302C::chr13_5	0	319	0	218	0	499
YMR303C::chr13_5	360	272	252	261	570	440
YMR304C-A::chr13_5	494	414	294	304	477	485
YMR304W::chr13_5	734	330	264	194	670	410
YMR305C::chr13_5	421	398	324	449	191	307
YMR306C-A::chr13_5	412	287	301	233	396	202
YMR306W::chr00_8	513	400	263	264	456	424
YMR307W::chr13_5	83	57	930	874	178	175
YMR308C::chr13_5	1	3	0	2	0	1
YMR309C::chr13_5	0	0	0	0	0	0
YMR310C::chr13_5	894	650	316	227	2496	1599
YMR311C::chr00_8	333	360	203	273	496	443
YMR312W::chr00_8	403	282	859	773	274	257
YMR313C::chr00_8	792	442	318	229	473	328
YMR314W::chr00_8	0	1	0	0	6	0
YMR315W-A::chr00_21	291	327	1	0	286	349
YMR315W::chr00_8	1302	991	199	229	894	723
YMR316C-A::chr00_8	676	317	372	260	452	273
YMR316C-B::chr00_8	619	407	224	228	378	208
YMR316W::chr00_8	641	374	261	242	470	439
YMR317W::chr00_8	476	343	267	227	477	466
YMR318C::chr00_8	445	374	233	209	610	547
YMR319C::chr00_8	422	315	182	229	401	382
YMR320W::chr00_8	399	289	206	159	487	376
YMR322C::chr00_17b	370	231	217	132	390	257
YMR326C::chr00_4	363	204	79	206	338	190
YNL001W::chr14_4	315	173	1200	938	377	229
YNL002C::chr14_4	0	4	0	3	0	1
YNL003C::chr14_4	0	0	0	0	0	0
YNL004W::chr14_4	0	269	106	233	0	412
YNL005C::chr14_4	1	0	744	641	1	2
YNL006W::chr14_4	0	1	0	5	0	0
YNL007C::chr14_4	0	5	0	0	0	0
YNL008C::chr14_4	42	322	0	0	35	387
YNL009W::chr14_4	459	345	94	148	344	374
YNL010W::chr14_4	444	313	254	149	354	285
YNL011C::chr00_18	0	0	0	96	0	1
YNL011C::chr14_4	0	0	0	0	0	0
YNL012W::chr14_4	413	239	187	181	487	381
YNL013C::chr14_4	371	256	242	241	316	307
YNL014W::chr00_18	317	135	100	90	618	374
YNL014W::chr00_23	0	0	0	0	0	0
YNL014W::chr14_4	0	0	0	0	0	0
YNL015W::chr14_4	380	299	4	2	441	436
YNL016W::chr14_4	224	146	83	62	0	2
YNL018C::chr00_18	0	0	0	0	0	0
YNL020C::chr14_4	281	202	181	195	353	308
YNL021W::chr14_4	316	0	1	0	302	0
YNL022C::chr14_4	151	0	83	162	207	0
YNL023C::chr14_4	461	0	250	0	430	0
YNL024C-A::chr00_21	0	1	0	2	0	0
YNL024C::chr14_4	611	357	1257	550	385	263
YNL025C::chr14_4	268	161	962	775	441	269
YNL026W::chr14_4	0	0	0	4	0	0
YNL027W::chr14_4	357	196	130	214	442	356
YNL028W::chr14_4	2	354	0	1	1	803
YNL029C::chr14_4	450	271	0	0	398	260
YNL030W::chr14_4	375	201	1	0	228	123
YNL031C::chr14_4	389	253	226	161	878	665
YNL032W::chr14_4	284	80	283	168	433	118
YNL034W::chr14_4	536	386	286	270	572	335
YNL035C::chr14_4	646	398	286	227	520	292
YNL036W::chr00_22	0	0	0	0	0	0
YNL037C::chr14_4	222	163	0	1	340	212
YNL038W::chr14_4	4	1	3	0	1	5
YNL039W::chr14_4	0	2	0	7	0	2
YNL040W::chr14_4	463	283	1	1	0	0
YNL041C::chr14_4	489	114	332	102	581	102
YNL042W-B::chr00_21	387	246	1	0	487	354
YNL042W::chr14_4	0	0	317	219	0	0
YNL043C::chr14_4	508	367	148	245	451	309
YNL044W::chr14_4	482	367	326	266	543	353
YNL045W::chr14_4	576	349	380	330	440	275
YNL046W::chr14_4	654	0	365	75	410	1
YNL047C::chr00_18	396	292	174	188	664	486
YNL049C::chr14_4	608	362	246	183	396	261
YNL050C::chr14_4	623	365	242	112	535	445
YNL051W::chr00_16b	305	61	1335	698	1339	302
YNL052W::chr00_16b	359	41	176	116	219	33
YNL053W::chr00_18	374	243	288	117	591	404
YNL054W::chr14_3	402	18	982	402	1380	83
YNL055C::chr00_18	0	172	443	866	1	350
YNL056W::chr00_16b	328	181	292	190	364	229
YNL057W::chr14_3	367	305	191	259	691	529
YNL058C::chr14_3	482	211	237	144	850	446
YNL059C::chr00_18	0	0	151	105	0	1
YNL061W::chr00_16b	2	5	5	17	2	3
YNL062C::chr14_3	0	1	2	3	2	2
YNL063W::chr14_3	377	206	227	202	298	224
YNL064C::chr14_3	229	174	27	30	150	104
YNL065W::chr00_16b	346	407	273	358	416	493
YNL066W::chr00_16b	615	637	197	103	383	441
YNL067W-B::chr00_21	255	180	0	1	445	349
YNL067W::chr00_16b	335	255	513	505	383	360
YNL068C::chr00_16b	447	373	50	132	392	368
YNL069C::chr00_18	296	129	753	560	842	370
YNL069C::chr14_3	1	0	3	2	842	659
YNL070W::chr00_16b	377	259	87	227	451	386
YNL071W::chr00_16b	256	0	195	93	283	1
YNL072W::chr00_16b	331	327	166	129	371	256
YNL073W::chr00_16b	173	139	636	624	379	308
YNL074C::chr00_16b	245	346	134	198	285	444
YNL075W::chr14_3	4	15	5	26	3	12
YNL076W::chr00_16b	156	114	215	189	415	377
YNL077W::chr14_3	346	234	230	186	355	226
YNL078W::chr00_16b	373	290	238	156	265	263
YNL079C::chr00_16b	369	227	949	653	199	207
YNL080C::chr00_16b	195	196	1213	1401	332	324
YNL081C::chr14_3	2	1	561	805	5	3
YNL082W::chr00_16b	35	21	148	157	516	513
YNL083W::chr00_16b	1	36	61	95	0	37
YNL083W::chr00_23	0	0	0	0	0	0
YNL084C::chr14_3	4	0	1271	809	7	1
YNL085W::chr00_16b	20	298	89	135	19	542
YNL086W::chr00_18	500	219	197	165	351	207
YNL087W::chr00_16b	447	270	176	132	568	413
YNL088W::chr14_3	3	0	0	0	0	1
YNL089C::chr00_18	671	525	71	167	511	432
YNL089C::chr14_3	0	0	3	3	756	700
YNL090W::chr00_16b	3	1	184	231	203	403
YNL090W::chr00_22	756	471	1	1	1171	863
YNL091W::chr00_16b	3	223	396	753	9	428
YNL092W::chr14_3	434	490	275	290	800	692
YNL093W::chr00_16b	341	117	195	149	440	123
YNL094W::chr14_3	0	419	110	288	1	198
YNL095C::chr00_16b	391	284	276	178	554	402
YNL096C::chr00_18	801	45	1109	479	1256	82
YNL097C-A::chr00_21	261	188	0	2	498	379
YNL097C::chr00_16b	78	122	706	807	546	631
YNL098C::chr14_3	344	191	169	138	162	143
YNL099C::chr00_16b	458	262	232	229	647	432
YNL100W::chr00_16b	11	94	148	172	25	119
YNL101W::chr14_3	106	343	31	200	44	217
YNL102W::chr14_3	0	4	0	1	0	4
YNL103W::chr00_18	1	0	0	2	5	3
YNL104C::chr00_16b	232	107	329	240	542	431
YNL105W::chr00_16b	462	427	211	222	448	481
YNL106C::chr00_16b	1	285	113	150	0	380
YNL107W::chr00_16b	418	321	841	794	454	370
YNL108C::chr14_3	327	0	159	95	277	0
YNL109W::chr00_18	391	206	662	745	438	256
YNL110C::chr14_3	10	7	2	2	5	11
YNL111C::chr00_18	684	447	192	146	505	438
YNL112W::chr00_23	0	0	0	0	0	0
YNL112W::chr14_3	0	1	1	0	0	1
YNL113W::chr14_3	0	1	1	0	0	0
YNL114C::chr14_3	2	2	3	1	2	0
YNL115C::chr00_16b	427	277	169	114	647	615
YNL116W::chr14_3	402	343	161	238	522	465
YNL117W::chr14_3	252	1	141	83	226	0
YNL118C::chr14_3	2	2	2	14	4	6
YNL119W::chr00_16b	176	148	788	796	494	462
YNL120C::chr00_16b	185	187	579	680	488	358
YNL121C::chr00_16b	357	1	1019	348	745	1
YNL122C::chr14_3	530	247	234	144	801	380
YNL123W::chr14_3	361	149	236	194	389	147
YNL124W::chr14_3	1	1	2	3	2	5
YNL125C::chr00_16b	352	217	1127	895	1069	725
YNL126W::chr14_3/chr00_16b	9	2	0	2	5	8
YNL127W::chr14_3	181	165	367	339	591	488
YNL128W::chr14_3	402	280	282	285	315	314
YNL129W::chr14_3	392	283	283	248	342	373
YNL130C-A::chr00_21	382	306	0	0	718	522
YNL130C::chr00_16b	325	180	195	151	563	442
YNL131W::chr14_3	0	6	2	0	0	0
YNL132W::chr14_3	3	0	0	1	0	3
YNL133C::chr14_3	37	0	1031	0	259	0
YNL134C::chr14_3	265	235	265	114	1118	783
YNL135C::chr14_3	303	1	1137	859	287	0
YNL136W::chr14_3	241	237	465	1066	113	115
YNL137C::chr00_16b	6	3	3	4	1	0
YNL138W-A::chr00_21	0	1	0	2	0	0
YNL138W::chr00_17b	0	0	26	20	173	162
YNL139C::chr14_3	3	0	844	591	0	0
YNL140C::chr00_17b	0	154	71	258	2	154
YNL141W::chr14_3	1	262	97	197	0	274
YNL142W::chr00_17b	382	367	196	176	349	371
YNL143C::chr14_3	0	273	0	285	0	366
YNL144C::chr14_3	314	306	100	251	264	328
YNL145W::chr14_3	451	425	178	259	278	311
YNL146C-A::chr00_21	368	295	1	1	469	315
YNL146W::chr14_3	0	335	0	318	0	267
YNL147W::chr00_18	6	2	2840	2668	237	220
YNL147W::chr00_22	566	428	0	1	783	538
YNL148C::chr14_2	0	74	75	202	0	156
YNL149C::chr14_2	3	1	12	1	1	0
YNL150W::chr14_2	0	2	8	0	0	0
YNL151C::chr14_2	4	2	1	0	4	0
YNL152W::chr14_2	0	1	0	3	10	10
YNL153C::chr14_2	151	135	0	3	444	358
YNL154C::chr14_2	350	386	209	199	411	456
YNL155W::chr14_2	757	483	239	193	660	357
YNL156C::chr14_2	284	272	0	0	480	443
YNL157W::chr14_2	498	305	240	184	606	343
YNL158W::chr14_2	2	11	2	1	3	7
YNL159C::chr14_2	416	297	290	186	539	302
YNL160W::chr14_2	458	374	1051	942	295	331
YNL161W::chr14_2	0	0	4	2	0	0
YNL162W-A::chr00_21	382	257	1	1	536	415
YNL162W::chr00_23	633	0	0	0	524	0
YNL162W::chr14_2	2	0	0	0	280	251
YNL163C::chr14_2	0	0	2	2	1	0
YNL164C::chr14_2	0	331	0	0	0	457
YNL165W::chr14_2	0	194	0	0	0	251
YNL166C::chr14_2	308	177	685	399	462	231
YNL167C::chr14_2	415	195	5	6	502	351
YNL168C::chr14_2	384	246	234	150	520	402
YNL169C::chr14_2	349	205	0	1	324	253
YNL170W::chr14_2	303	211	264	138	215	153
YNL171C::chr14_2	0	0	0	0	84	65
YNL172W::chr14_2	0	0	0	0	6	0
YNL173C::chr14_2	633	508	363	299	463	384
YNL175C::chr14_2	514	419	221	175	511	349
YNL176C::chr14_2	636	1	313	111	358	2
YNL177C::chr14_2	1	1	476	332	320	347
YNL178W::chr14_2	248	278	274	374	209	217
YNL179C::chr14_2	585	332	209	188	587	468
YNL180C::chr14_2	0	0	421	343	0	0
YNL181W::chr14_2	4	6	2	10	5	2
YNL182C::chr14_2	0	4	1	7	0	9
YNL183C::chr14_2	256	177	249	227	599	351
YNL184C::chr14_2	2	0	0	0	350	305
YNL185C::chr14_2	0	0	0	0	0	0
YNL187W::chr14_2	509	4	1623	6	488	4
YNL188W::chr14_2	1	4	3	1	3	1
YNL189W::chr14_2	0	6	9	7	1	8
YNL190W::chr14_2	459	298	261	239	620	492
YNL191W::chr14_2	271	0	934	558	321	0
YNL192W::chr14_2	282	120	0	1	415	91
YNL193W::chr14_2	559	292	274	138	512	341
YNL194C::chr14_2	493	170	286	163	456	185
YNL195C::chr14_2	503	434	236	248	420	500
YNL196C::chr14_2	433	334	124	197	516	533
YNL197C::chr14_2	2	0	353	171	647	59
YNL198C::chr14_2	372	234	239	162	514	340
YNL199C::chr14_2	191	330	127	222	154	375
YNL200C::chr14_2	25	258	629	835	33	377
YNL201C::chr14_2	571	320	115	113	603	320
YNL202W::chr14_2	263	250	57	86	285	376
YNL203C::chr14_2	419	156	843	197	425	157
YNL204C::chr14_2	446	1	208	80	567	2
YNL205C::chr14_2	354	224	252	212	475	270
YNL206C::chr14_2	549	338	276	229	462	344
YNL207W::chr14_2	0	6	2	5	5	3
YNL208W::chr14_2	476	269	0	1	547	398
YNL209W::chr00_22	619	472	1	0	773	487
YNL210W::chr14_2	0	0	0	0	0	0
YNL211C::chr14_2	475	0	244	87	689	1
YNL212W::chr14_2	516	0	231	86	526	1
YNL213C::chr14_2	6	0	1473	1565	303	279
YNL214W::chr14_2	332	282	151	95	523	398
YNL215W::chr14_2	0	178	32	95	0	255
YNL216W::chr14_2	12	7	22	9	6	7
YNL217W::chr14_2	514	239	200	109	424	228
YNL218W::chr14_2	961	537	1217	860	545	277
YNL219C::chr14_2	119	207	97	74	152	314
YNL220W::chr00_18	2	2	1	2	1604	3137
YNL221C::chr14_2	2	0	2	3	2	0
YNL222W::chr14_2	1	1	1	0	0	0
YNL223W::chr14_2	374	271	1	2	446	250
YNL224C::chr14_2	640	377	226	132	502	284
YNL225C::chr14_2	146	91	44	39	107	64
YNL226W::chr14_2	211	151	858	824	379	321
YNL227C::chr14_2	509	322	988	886	392	259
YNL228W::chr14_2	340	256	718	734	373	255
YNL229C::chr14_2	350	261	453	1034	386	365
YNL230C::chr14_2	425	283	1217	857	510	438
YNL231C::chr14_2	476	372	260	110	574	418
YNL232W::chr14_2	0	0	2	1	0	0
YNL233W::chr14_2	513	342	221	223	346	305
YNL234W::chr14_2	370	418	0	0	327	295
YNL235C::chr14_2	0	0	0	258	0	423
YNL236W::chr14_2	0	0	48	151	0	1
YNL237W::chr14_2	6	0	460	510	9	0
YNL238W::chr14_2	94	54	2	5	284	291
YNL239W::chr14_2	399	299	233	238	437	437
YNL240C::chr14_2	0	2	0	2	0	0
YNL241C::chr14_2	223	116	359	331	479	324
YNL242W::chr14_2	463	276	222	250	580	447
YNL243W::chr14_2	0	0	0	0	0	0
YNL244C::chr00_8	0	0	0	0	1	1
YNL245C::chr14_1	0	0	7	0	0	3
YNL246W::chr14_1	446	0	1703	0	478	0
YNL247W::chr14_1	0	0	0	0	0	0
YNL248C::chr14_1	358	234	976	910	438	350
YNL249C::chr14_1	506	313	291	208	885	607
YNL250W::chr00_8	401	250	326	484	253	225
YNL251C::chr14_1	2	0	4	0	1	0
YNL252C::chr00_8	3	1	568	649	220	222
YNL253W::chr14_1	530	422	220	189	689	517
YNL254C::chr14_1	600	380	330	120	532	502
YNL255C::chr14_1	481	346	246	192	372	289
YNL256W::chr00_8	0	3	2	6	0	1
YNL257C::chr14_1	456	302	195	182	795	573
YNL258C::chr14_1	2	1	2	5	0	0
YNL259C::chr14_1	597	352	208	180	639	332
YNL260C::chr00_8	5	0	2	1	2	1
YNL261W::chr14_1	9	3	1	11	3	0
YNL262W::chr14_1	4	1	4	3	8	1
YNL263C::chr14_1	0	0	0	6	0	7
YNL264C::chr14_1	371	364	98	174	226	286
YNL265C::chr14_1	200	157	186	113	440	331
YNL266W::chr14_1	661	0	225	155	621	0
YNL267W::chr00_12	4	0	1	2	0	5
YNL268W::chr00_18	2	2	856	1458	10	336
YNL268W::chr14_1	0	503	0	0	0	523
YNL269W::chr14_1	689	519	200	332	542	479
YNL270C::chr14_1	368	7	104	134	196	5
YNL271C::chr14_1	782	414	1067	788	562	456
YNL272C::chr14_1	0	2	3	6	1	2
YNL273W::chr14_1	433	583	130	213	206	304
YNL274C::chr00_10	282	226	191	161	515	417
YNL275W::chr14_1	307	304	276	267	377	305
YNL276C::chr14_1	190	162	147	231	1386	1031
YNL277W-A::chr00_21	423	162	4	0	310	204
YNL277W::chr14_1	0	0	0	0	0	0
YNL278W::chr14_1	552	282	232	111	572	315
YNL279W::chr00_8	344	354	189	177	414	379
YNL280C::chr00_22	191	26	0	0	141	17
YNL280C::chr14_1	0	0	0	0	0	0
YNL281W::chr14_1	477	30	819	391	1177	94
YNL282W::chr14_1	1	0	0	0	2	0
YNL283C::chr14_1	501	264	225	197	843	410
YNL284C::chr00_18	2	0	732	517	245	161
YNL285W::chr14_1	332	95	205	104	499	179
YNL286W::chr14_1	5	6	151	89	2	8
YNL287W::chr00_8	0	0	2	0	3	0
YNL288W::chr14_1	426	301	319	337	571	552
YNL289W::chr14_1	356	268	208	234	594	432
YNL290W::chr14_1	1	2	4	14	0	2
YNL291C::chr14_1	21	147	156	205	59	411
YNL292W::chr14_1	395	179	226	136	955	461
YNL293W::chr14_1	524	298	258	160	481	290
YNL294C::chr14_1	2	354	150	195	2	196
YNL295W::chr14_1	558	271	160	145	181	139
YNL296W::chr14_1	3	0	408	997	0	0
YNL297C::chr14_1	284	169	996	907	201	181
YNL298W::chr14_1	290	175	161	141	219	145
YNL299W::chr14_1	422	187	207	111	233	93
YNL300W::chr00_8	772	399	218	128	501	296
YNL301C::chr14_1	469	315	797	737	233	173
YNL302C::chr14_1	294	204	0	0	101	65
YNL303W::chr14_1	458	272	257	215	431	214
YNL304W::chr14_1	699	560	313	246	842	662
YNL305C::chr14_1	2	480	2	292	2	515
YNL306W::chr14_1	1	1	0	7	0	11
YNL307C::chr00_22	0	0	0	0	0	0
YNL307C::chr14_1	14	308	10	237	91	2237
YNL308C::chr14_1	0	1	1	0	0	1
YNL309W::chr14_1	383	315	0	0	226	194
YNL310C::chr14_1	3	3	4	2	6	0
YNL311C::chr14_1	238	187	186	165	243	226
YNL312W::chr14_1	0	1	0	4	0	2
YNL313C::chr14_1	1	0	2	0	4	5
YNL314W::chr14_1	280	253	223	220	501	404
YNL315C::chr00_17b	2	0	204	170	203	196
YNL315C::chr00_18	125	79	18	13	437	391
YNL316C::chr00_8	201	192	106	214	417	326
YNL317W::chr14_1	0	0	0	0	2	0
YNL318C::chr14_1	377	303	185	214	405	468
YNL319W::chr14_1	473	327	189	147	609	469
YNL320W::chr14_1	472	356	0	0	345	302
YNL321W::chr14_1	436	319	209	228	363	312
YNL322C::chr14_1	165	82	165	148	212	158
YNL323W::chr14_1	270	1	819	325	193	1
YNL324W::chr14_1	170	122	403	210	461	227
YNL325C::chr14_1	417	341	390	312	264	150
YNL326C::chr14_1	265	210	299	303	620	522
YNL327W::chr14_1	358	388	381	340	320	250
YNL328C::chr14_1	557	0	457	0	550	0
YNL329C::chr14_1	377	241	325	447	357	226
YNL330C::chr14_1	0	0	0	0	0	0
YNL331C::chr14_1	0	0	0	0	0	0
YNL332W::chr14_1	457	331	338	241	498	454
YNL333W::chr14_1	505	306	388	330	391	209
YNL334C::chr14_1	1017	0	314	149	823	0
YNL335W::chr14_1	574	361	198	140	214	174
YNL336W::chr14_1	447	266	248	258	206	128
YNL338W::chr14_1	469	1	281	76	334	1
YNL339C::chr14_1	362	319	436	337	415	425
YNR001C::chr14_4	376	280	304	239	485	261
YNR002C::chr14_4	797	584	308	262	507	317
YNR003C::chr14_4	0	0	1	5	0	0
YNR004W::chr14_4	417	260	1094	952	430	242
YNR005C::chr14_4	233	151	327	95	286	210
YNR006W::chr14_4	0	5	542	980	376	263
YNR007C::chr14_4	3	242	203	300	1	336
YNR008W::chr14_4	390	263	344	228	693	335
YNR009W::chr14_4	368	176	384	308	485	255
YNR010W::chr14_4	222	135	0	0	388	172
YNR011C::chr00_18	6	4	0	3	6	4
YNR012W::chr14_4	313	0	442	0	358	0
YNR013C::chr14_4	388	248	147	215	539	536
YNR014W::chr14_4	326	233	239	103	749	507
YNR015W::chr14_4	497	330	232	101	441	337
YNR016C::chr14_4	1	3	7	7	16	9
YNR017W::chr14_4	0	3	0	6	0	2
YNR018W::chr14_4	453	380	304	236	451	389
YNR019W::chr14_4	281	187	216	108	344	264
YNR020C::chr14_4	275	143	969	428	313	242
YNR021W::chr14_4	348	120	332	50	508	134
YNR022C::chr14_4	369	289	1	3	344	322
YNR023W::chr14_4	0	0	185	95	0	0
YNR024W::chr14_4	354	193	333	212	554	374
YNR025C::chr14_4	280	209	332	266	317	213
YNR026C::chr14_4	0	0	2	0	2	0
YNR027W::chr14_4	373	161	376	195	442	232
YNR028W::chr14_4	301	178	387	279	195	148
YNR029C::chr14_4	11	231	141	251	14	375
YNR030W::chr14_4	206	228	203	315	730	685
YNR031C::chr14_4	423	271	263	199	708	393
YNR032C-A::chr00_4	372	278	237	293	679	612
YNR032W::chr14_4	291	0	1187	780	371	0
YNR033W::chr00_18	310	247	170	160	533	413
YNR033W::chr14_4	0	0	0	0	0	0
YNR034W-A::chr00_21	0	0	0	0	0	0
YNR034W::chr14_4	41	279	174	237	58	282
YNR035C::chr14_4	0	0	1	0	0	3
YNR036C::chr14_4	0	0	0	0	0	0
YNR037C::chr14_4	3	0	796	854	277	256
YNR038W::chr14_4	0	0	0	0	0	2
YNR039C::chr14_4	352	195	306	223	399	172
YNR040W::chr14_4	360	273	619	498	328	166
YNR041C::chr14_4	1	0	527	407	1	0
YNR042W::chr14_4	0	0	0	0	155	140
YNR043W::chr14_4	0	2	0	4	0	0
YNR044W::chr14_4	1	0	353	381	0	4
YNR045W::chr14_4	2	0	246	427	1	1
YNR046W::chr14_4	3	6	2	6	2	4
YNR047W::chr14_4	455	0	1	0	627	0
YNR048W::chr14_4	971	742	283	219	972	775
YNR049C::chr14_4	468	270	178	213	797	499
YNR050C::chr00_4	4	0	1347	614	623	0
YNR051C::chr00_4	219	0	447	163	577	0
YNR052C::chr00_15	0	0	190	451	0	209
YNR052C::chr00_22	73	37	1	0	230	127
YNR053C::chr00_4	9	13	15	3	13	13
YNR054C::chr00_4	0	4	6	0	6	2
YNR055C::chr00_15	389	280	243	176	542	427
YNR056C::chr00_4	331	203	197	156	782	649
YNR057C::chr00_4	447	354	243	197	573	563
YNR058W::chr00_4	522	326	232	164	678	385
YNR059W::chr00_4	422	255	231	85	550	359
YNR060W::chr00_4	346	207	239	164	366	251
YNR061C::chr00_4	409	229	292	214	459	242
YNR062C::chr00_4	442	326	246	156	490	318
YNR063W::chr00_4	341	242	276	176	384	235
YNR064C::chr00_4	365	209	289	238	330	220
YNR065C::chr00_4	353	246	269	172	426	248
YNR066C::chr00_4	412	261	303	222	506	333
YNR067C::chr00_4	396	242	406	360	617	415
YNR068C::chr00_4	3	0	217	239	705	453
YNR069C::chr00_15	437	339	384	427	445	408
YNR070W::chr00_6	669	430	419	431	435	369
YNR071C::chr00_6	2	377	167	281	0	253
YNR072W::chr00_6	12	156	171	141	8	76
YNR073C::chr00_6	598	0	363	0	291	0
YNR074C::chr00_6	526	157	370	128	623	140
YNR075W::chr00_6	3	406	121	328	0	390
YOL001W::chr15_5	200	143	139	241	319	247
YOL002C::chr15_5	599	468	332	251	396	320
YOL003C::chr15_5	0	368	132	251	0	341
YOL004W::chr15_5	273	150	232	153	404	298
YOL005C::chr15_5	4	0	2	0	3	1
YOL006C::chr15_5	279	285	308	309	178	189
YOL007C::chr15_5	484	4	328	1	618	4
YOL008W::chr15_5	456	277	314	224	340	295
YOL009C::chr15_5	300	201	267	184	541	363
YOL010W::chr15_5	1	0	3	1	0	0
YOL011W::chr15_5	408	314	342	282	514	409
YOL012C::chr15_5	314	329	298	230	315	337
YOL013C::chr15_5	595	513	1324	1291	433	418
YOL013W-A::chr00_6	398	369	291	272	615	698
YOL013W-B::chr00_21	449	341	2	7	847	767
YOL014W::chr15_5	415	243	186	200	560	378
YOL015W::chr15_5	546	0	286	76	583	0
YOL016C::chr00_8	850	588	451	336	642	531
YOL017W::chr15_5	471	7	1285	19	567	15
YOL018C::chr15_5	140	0	548	0	456	0
YOL019W-A::chr00_21	336	293	2	0	435	425
YOL019W::chr15_5	501	372	284	257	727	715
YOL020W::chr15_5	9	218	142	213	17	311
YOL021C::chr15_5	17	3	8	3	1	4
YOL022C::chr15_5	15	2	1	2	0	1
YOL023W::chr15_5	305	62	218	84	437	85
YOL024W::chr15_5	504	321	260	108	535	344
YOL025W::chr15_5	547	389	370	305	567	447
YOL026C::chr15_5	3	4	1	2	1	1
YOL027C::chr15_5	2	0	149	176	1	0
YOL028C::chr15_5	448	327	206	181	617	498
YOL029C::chr15_5	380	430	215	107	297	424
YOL030W::chr15_5	514	417	1477	1182	464	317
YOL031C::chr15_5	399	248	264	105	534	341
YOL032W::chr15_5	393	359	262	275	442	572
YOL033W::chr15_5	3	4	212	1459	86	319
YOL034W::chr15_5	0	0	2	8	7	0
YOL035C::chr15_5	389	297	143	312	274	360
YOL036W::chr15_5	384	279	296	272	275	204
YOL037C::chr15_5	471	270	1458	1251	229	172
YOL038C-A::chr00_21	410	203	3	3	680	475
YOL038W::chr15_5	0	4	0	0	0	3
YOL039W::chr15_5	473	333	373	326	179	141
YOL040C::chr15_5	0	0	0	0	0	0
YOL041C::chr15_5	359	202	298	180	213	259
YOL042W::chr15_5	449	4	385	200	296	0
YOL043C::chr15_5	457	414	298	244	296	209
YOL044W::chr15_5	455	151	294	101	515	212
YOL045W::chr15_5	410	258	313	267	481	352
YOL046C::chr15_5	407	327	302	319	476	430
YOL047C::chr15_5	534	225	1179	735	675	321
YOL048C::chr00_22	0	0	0	0	0	0
YOL048C::chr15_5	3	1	318	210	741	394
YOL049W::chr15_5	530	36	346	113	626	60
YOL050C::chr15_5	385	258	373	353	292	225
YOL051W::chr15_5	5	1	1218	880	1	2
YOL052C-A::chr00_21	342	294	1	0	536	436
YOL052C::chr15_5	390	329	306	262	225	258
YOL053C-A::chr15_5	362	282	176	166	604	477
YOL053W::chr15_5	382	524	1364	1657	185	220
YOL054W::chr15_5	347	286	1086	569	218	194
YOL055C::chr15_5	438	347	254	284	300	191
YOL056W::chr15_5	436	381	125	145	482	554
YOL057W::chr15_5	375	148	436	223	726	198
YOL058W::chr15_5	4	0	191	156	538	491
YOL059W::chr15_5	328	214	187	73	747	494
YOL060C::chr15_5	402	0	138	110	282	0
YOL061W::chr15_5	406	247	252	173	176	127
YOL062C::chr15_5	434	283	202	189	312	226
YOL063C::chr15_5	456	0	232	123	419	0
YOL064C::chr15_5	25	5	142	72	153	17
YOL065C::chr15_5	583	526	487	457	412	400
YOL066C::chr15_5	1	6	2	1	0	11
YOL067C::chr15_5	203	156	240	90	284	231
YOL068C::chr15_5	13	259	615	953	5	290
YOL069W::chr15_5	4	0	1	3	3	0
YOL070C::chr15_5	320	345	281	249	330	448
YOL071W::chr15_5	183	140	14	9	339	253
YOL072W::chr15_5	1	33	88	117	5	31
YOL073C::chr00_23	551	417	3	5	1173	770
YOL075C::chr15_5	428	221	231	187	796	568
YOL076W::chr15_5	161	197	644	753	157	124
YOL077C::chr15_5	2	0	0	1	0	0
YOL077W-A::chr00_21	291	342	1	3	424	364
YOL078W::chr00_8	4	4	4	9	3	0
YOL079W::chr15_5	465	396	112	188	310	235
YOL080C::chr15_5	587	448	204	102	681	519
YOL081W::chr15_5	162	149	258	280	440	383
YOL082W::chr15_5	696	410	1375	977	669	372
YOL083W::chr15_5	569	385	347	296	396	302
YOL084W::chr15_5	496	261	202	165	424	311
YOL085C::chr15_5	422	246	219	188	393	264
YOL086C::chr00_6	0	0	194	141	2	0
YOL086W-A::chr00_21	421	224	0	1	505	376
YOL087C::chr00_6	547	118	332	130	666	137
YOL088C::chr00_6	476	387	407	380	707	474
YOL089C::chr00_6	358	383	317	358	564	579
YOL090W::chr00_6	462	336	238	321	638	441
YOL091W::chr00_6	500	468	275	285	353	295
YOL092W::chr00_6	547	482	315	293	369	282
YOL093W::chr00_6	582	469	254	231	223	246
YOL094C::chr00_6	0	9	1	3	2	4
YOL095C::chr00_6	5	0	1147	1287	1	4
YOL096C::chr00_6	0	0	0	0	296	218
YOL097C::chr00_6	3	2	2	6	5	5
YOL097W-A::chr00_21	340	295	0	2	517	477
YOL098C::chr00_6	13	358	812	1621	7	437
YOL099C::chr00_6	25	302	146	167	22	259
YOL100W::chr00_6	483	326	149	122	158	157
YOL101C::chr00_6	570	334	61	154	545	367
YOL102C::chr00_6	3	0	1	2	1	0
YOL103W::chr00_6	1153	779	235	228	848	667
YOL104C::chr00_6	457	378	181	187	530	393
YOL105C::chr00_6	548	400	183	190	498	468
